01 - Bas-Saint-Laurent;De La Pocatière aux Méchins, 320 kilomètres le long desquels la plaine épouse les contreforts des Appalaches. La région est encadrée par le fleuve et de nombreuses îles au nord, par l'état du Maine et le Nouveau-Brunswick au sud, la Gaspésie à l'est et la région Chaudière-Appalaches à l'ouest.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/bas-saint-laurent/
02 - Saguenay–Lac-Saint-Jean;Le Saguenay–Lac-Saint-Jean est un vaste territoire qui s’étend du nord du lac Saint-Jean jusqu’à l’embouchure du célèbre fjord de la rivière Saguenay. ;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/saguenay-lac-saint-jean/
03 - Capitale-Nationale;Cette région qui inclut l'actuelle ville de Québec est le berceau de la Nouvelle-France. C'est à l'île d'Orléans et sur la côte de Beaupré par exemple que se sont établies plusieurs des familles fondatrices du Québec.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/capitale-nationale/
04 - Mauricie;Située sur la rive nord du fleuve, entre les régions de Lanaudière, de la Capitale-Nationale, du Saguenay–Lac-Saint-Jean et de l'Abitibi Témiscamingue, la Mauricie doit son nom à la rivière Saint-Maurice qui prend sa source dans le réservoir Gouin.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/mauricie/
05 - Estrie;"Située dans les Appalaches et sillonnée par un réseau hydrographique ramifié dû à son relief accidenté, l'Estrie est bornée au nord par les régions du Centre-du-Québec et de Chaudière Appalaches ; à l’ouest par la Montérégie. ";https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/estrie/
06 - Montréal;Plus grande île du fleuve après Anticosti, l'île de Montréal est bordée au nord par la rivière des Prairies, les îles Jésus et Bizard et les basses Laurentides. Au sud, la voie maritime et la Montérégie la ceinturent.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/montreal/
07 - Outaouais;La région doit son nom à la rivière des Outaouais qui, sur plusieurs centaines de kilomètres, sert de frontière entre l'Ontario et le Québec. ;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/outaouais/
08 - Abitibi-Témiscamingue;L'Abitibi-Témiscamingue constitue la pointe ouest du Québec, délimitée au nord par la région du Nord-du-Québec, au sud, l'Outaouais et à l'est, la Mauricie. Territoire de forêts et de lacs, le Témiscamingue correspond en partie au bassin hydrographique de la rivière des Outaouais.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/abitibi-temiscamingue/
09 - Côte-Nord;Longeant le fleuve puis le golfe du Saint-Laurent, de Tadoussac jusqu’aux limites du Labrador, appuyée contre le Saguenay–Lac-Saint-Jean à l'ouest, la Côte-Nord pénètre profondément dans le Nord-du-Québec.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/cote-nord/
10 - Nord-du-Québec;Située au nord du 49e parallèle, entièrement sur le Bouclier canadien, la région couvre un peu plus de la moitié de la superficie totale du Québec. ;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/nord-du-quebec/
11 - Gaspésie–Îles-de-la-Madeleine;La région inclut la péninsule gaspésienne, située sur la rive sud du Saint-Laurent, et comprend également, depuis 1987, Les Îles-de-la Madeleine, archipel de la partie méridionale du golfe du Saint-Laurent.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/gaspesie-iles-de-la-madeleine/
12 - Chaudière-Appalaches;Longeant la rive sud du fleuve, de Leclercville, à l'ouest, jusqu'à Saint-Roch-des-Aulnaies, à l'est, la région se glisse entre celles du Centre-du-Québec et du Bas-Saint-Laurent, jusqu'à la frontière américaine.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/chaudiere-appalaches/
13 - Laval;Le territoire de la région administrative de Laval correspond à celui de la ville de Laval. Celle-ci occupe la totalité de l'île Jésus qui est la deuxième plus grande île de l'archipel d'Hochelaga, après l'île de Montréal.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/laval/
14 - Lanaudière;Insérée entre les régions des Laurentides à l'ouest et de la Mauricie à l'est, Lanaudière s'étend du massif laurentien, au nord, jusqu'au fleuve, au sud.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/lanaudiere/
15 - Laurentides;Nichée entre les régions de l'Outaouais à l'ouest et de Lanaudière à l'est, la région des Laurentides laisse derrière elle ses montagnes pour descendre vers le sud, jusqu'à la rivière des Mille Îles. ;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/laurentides/
16 - Montérégie;Adossée à l'est sur les régions de l'Estrie et du Centre-du-Québec, la Montérégie longe la frontière des états du Vermont et de New York au sud, voisine avec l'Ontario à l'ouest pour ensuite suivre le fleuve au nord.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/monteregie/
17 - Centre-du-Québec;La région du Centre-du-Québec porte bien son nom. Sise sur la rive sud du Saint-Laurent, elle est enclavée dans l'espace délimité par les régions de Chaudière-Appalaches à l'est, de l'Estrie au sud et de la Montérégie à l'ouest.;https://www.mamh.gouv.qc.ca/organisation-municipale/organisation-territoriale/regions-administratives/centre-du-quebec/
